"","age","edu","inc","car","acc"
"1",20,"High School",66672.5007015937,"Standard",0
"2",21,"College",71749.9499476711,"Standard",1
"3",25,"College",89297.2260729919,"Standard",0
"4",18,"College",38600.858940145,"Standard",0
"5",18,"High School",38267.1251418448,"Truck",0
"6",23,"High School",59553.7465689723,"Truck",0
"7",20,"College",81489.3655831303,"Truck",0
"8",18,"College",36073.6774080788,"Standard",0
"9",23,"High School",62507.3141824462,"Standard",0
"10",25,"High School",85585.4151150659,"Truck",0
"11",20,"High School",60620.2898287861,"Truck",0
"12",27,"High School",84246.5361289909,"Standard",0
"13",22,"College",82837.4967583557,"Standard",0
"14",31,"College",93202.3434006073,"Truck",0
"15",24,"College",102648.175548929,"Standard",0
"16",24,"College",106757.251506877,"Luxury",0
"17",21,"High School",69934.3267808053,"Standard",0
"18",22,"College",77386.7713160656,"Standard",0
"19",18,"College",39656.6775814617,"Truck",0
"20",22,"College",87824.6597030679,"Standard",0
"21",18,"High School",53347.8071112844,"Standard",1
"22",19,"High School",57432.4191715264,"Standard",0
"23",25,"College",104933.952204495,"Standard",0
"24",18,"College",34035.73083127,"Truck",0
"25",19,"High School",63024.0236324176,"Truck",0
"26",18,"College",37121.0753531217,"Standard",0
"27",31,"High School",93162.8526663974,"Truck",0
"28",26,"High School",85980.1915933129,"Standard",0
"29",19,"College",63006.2002780755,"Standard",0
"30",40,"High School",105263.466030936,"Standard",0
"31",27,"College",112107.774545333,"Truck",0
"32",18,"High School",51485.3585927592,"Standard",0
"33",19,"College",47580.9694856248,"Standard",0
"34",20,"High School",64209.740332317,"Standard",0
"35",31,"College",96271.167851584,"Truck",0
"36",33,"College",103152.239796146,"Truck",0
"37",18,"College",28074.7477858338,"Standard",0
"38",18,"High School",37643.9417766876,"Standard",0
"39",29,"College",87259.59608499,"Standard",0
"40",18,"College",28166.088752645,"Standard",3
"41",18,"College",37768.1889385601,"Standard",0
"42",30,"High School",82873.3559013229,"Truck",0
"43",23,"High School",80291.3399775861,"Truck",0
"44",20,"College",80397.543908082,"Standard",0
"45",23,"High School",73880.6981536564,"Truck",0
"46",19,"High School",59794.6124169401,"Truck",0
"47",19,"College",51409.0053940412,"Standard",0
"48",25,"College",102386.33019681,"Luxury",0
"49",20,"College",68156.1614589298,"Standard",0
"50",23,"High School",79101.3209887393,"Standard",0
"51",43,"High School",115981.438765052,"Luxury",0
"52",19,"College",51397.4441051958,"Standard",0
"53",34,"High School",97792.1381802964,"Standard",0
"54",26,"College",99057.069779926,"Standard",0
"55",33,"High School",94899.7330514736,"Truck",0
"56",24,"College",99093.1461991224,"Standard",0
"57",22,"High School",81429.6269252721,"Standard",0
"58",18,"College",34977.0837244244,"Truck",0
"59",24,"College",102123.724607185,"Truck",0
"60",22,"College",66073.4584984942,"Standard",0
"61",64,"College",132228.430720499,"Standard",0
"62",21,"College",94578.5586687486,"Truck",0
"63",18,"High School",45205.4690324661,"Truck",0
"64",19,"High School",55407.3155952747,"Standard",0
"65",31,"College",108622.580127707,"Standard",0
"66",26,"High School",95186.5315119013,"Luxury",0
"67",19,"High School",61725.2743032829,"Standard",0
"68",22,"College",76465.4807540674,"Truck",0
"69",44,"College",125995.194315334,"Standard",0
"70",24,"College",95881.7600192595,"Truck",0
"71",25,"College",109841.288507732,"Luxury",0
"72",22,"College",89123.9887112284,"Standard",0
"73",21,"College",91869.759128701,"Truck",0
"74",27,"College",104361.291836263,"Standard",0
"75",24,"College",90207.400187046,"Truck",0
"76",18,"College",51815.5440393664,"Truck",0
"77",18,"College",30668.8763902807,"Standard",0
"78",18,"High School",51026.8945657973,"Standard",0
"79",26,"High School",70303.5217216128,"Truck",0
"80",36,"College",122308.566837947,"Standard",0
"81",19,"High School",52847.8637905762,"Standard",0
"82",21,"High School",75212.9168200585,"Standard",0
"83",19,"College",56255.2853460747,"Standard",0
"84",26,"College",109189.405224891,"Standard",0
"85",27,"College",98686.827859377,"Standard",0
"86",23,"College",82252.5088424732,"Standard",0
"87",28,"College",105771.627530635,"Truck",0
"88",30,"High School",79819.7492364341,"Standard",0
"89",18,"College",40382.6347810013,"Standard",0
"90",23,"High School",83402.5489939197,"Truck",0
"91",22,"College",80167.1114779863,"Truck",0
"92",28,"High School",92097.276629822,"Truck",0
"93",20,"College",78673.6203472828,"Truck",0
"94",20,"High School",69710.5371503508,"Truck",0
"95",18,"College",47468.9774572216,"Standard",0
"96",19,"College",47497.326442104,"Standard",0
"97",27,"High School",92134.5716308869,"Truck",0
"98",19,"High School",51412.880672562,"Truck",0
